Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",176.100000,-117.438000,0.000000,bottom
"C2","100nF","C_0402_1005Metric",179.700000,-117.438000,0.000000,bottom
"C3","100nF","C_0402_1005Metric",177.900000,-120.555000,0.000000,bottom
"C4","100nF","C_0402_1005Metric",174.300000,-120.555000,0.000000,bottom
"C5","100nF","C_0402_1005Metric",172.500000,-117.438000,0.000000,bottom
"C6","100nF","C_0402_1005Metric",174.300000,-114.320000,0.000000,bottom
"C7","100nF","C_0402_1005Metric",103.290000,-103.380000,0.000000,bottom
"C8","100nF","C_0402_1005Metric",204.710000,-89.380000,0.000000,bottom
"C9","100nF","C_0402_1005Metric",86.140000,-104.780000,0.000000,bottom
"C10","100nF","C_0402_1005Metric",186.140000,-89.280000,0.000000,bottom
"C11","100nF","C_0402_1005Metric",190.975000,-118.405000,0.000000,bottom
"C12","100nF","C_0402_1005Metric",238.401000,-99.002000,0.000000,bottom
"C13","100nF","C_0402_1005Metric",119.350000,-109.500000,0.000000,bottom
"C14","100nF","C_0402_1005Metric",56.500000,-104.000000,0.000000,bottom
"C15","100nF","C_0402_1005Metric",177.900000,-114.320000,0.000000,bottom
"C16","1uF","C_0402_1005Metric",181.614000,-119.804000,0.000000,bottom
"C17","1uF","C_0402_1005Metric",171.547000,-121.346000,0.000000,bottom
"C18","1uF","C_0402_1005Metric",229.652000,-90.785000,0.000000,bottom
"C19","1uF","C_0402_1005Metric",194.575000,-118.405000,0.000000,bottom
"C20","10uF","C_0805_2012Metric",122.150000,-109.500000,0.000000,bottom
"C21","10uF","C_0805_2012Metric",58.925000,-105.400000,0.000000,bottom
"C22","10uF","C_0805_2012Metric",120.750000,-111.925000,0.000000,bottom
"C23","15pF","C_0402_1005Metric",165.100000,-119.850000,0.000000,bottom
"C24","15pF","C_0402_1005Metric",168.700000,-119.850000,0.000000,bottom
"R1","5.1k","R_0402_1005Metric",116.925000,-110.900000,0.000000,bottom
"R2","5.1k","R_0402_1005Metric",116.925000,-108.100000,0.000000,bottom
"R3","5.1k","R_0402_1005Metric",55.100000,-106.425000,0.000000,bottom
"R4","5.1k","R_0402_1005Metric",54.075000,-102.600000,0.000000,bottom
"R5","27","R_0402_1005Metric",170.854000,-114.526000,0.000000,bottom
"R6","27","R_0402_1005Metric",175.796000,-111.445000,0.000000,bottom
"R7","2.4k","R_0402_1005Metric",105.715000,-104.780000,0.000000,bottom
"R8","2.4k","R_0402_1005Metric",207.135000,-90.780000,0.000000,bottom
"R9","10k","R_0402_1005Metric",229.300000,-88.000000,0.000000,bottom
"R10","10k","R_0402_1005Metric",229.652000,-85.215000,0.000000,bottom
